ds,0,1,2,3,4,5,6,7,8
2020-01-01,11.566495447233065,-4.27567154483445,0.9049208326118021,-8.26622695368608,-2.8219286078885295,-4.551365044182759,0.7914464239683734,-1.388863028434376,-2.824925178636284
2020-01-02,11.23594013877604,-3.9719684709635867,5.487398102603169,-9.214814338906832,-0.24611213231990692,-3.7924689425336755,3.4495384866133967,2.3323941068486596,-2.7293742553153084
2020-01-03,18.84189478392271,-3.446779684368622,2.6978264233031384,-0.47406664244304775,0.5971976280509073,0.8390893874848349,-0.979629148558117,6.591942681946275,-1.3330501288734307
2020-01-04,15.40488668259539,-5.6287415124898335,1.6047873458614637,-2.165188704203163,0.978345895214892,-2.951030716118397,1.1987287597431022,1.7363662223910226,-2.6916339519992176
2020-01-05,15.902862129163887,-3.9848772961750165,0.35286143517181046,-2.267814012311167,-1.1087250373097923,-4.270793757952425,0.4314972253183901,-1.6466475339593138,-2.419573602275072
2020-01-06,16.170560360537173,-5.120265265730701,2.0152324047019725,0.6036359566031138,0.8327425276839884,-1.7868507722102427,2.5936036994637197,6.444673307362356,0.030760955589853367
2020-01-07,19.894423452715866,-1.6461955171854967,4.457034124891933,5.881547839573171,-2.0195068305076402,-3.4334223378033992,3.846667768323202,1.9773327984794482,-0.32604092311966326
2020-01-08,10.28783710425852,-6.113880985408974,9.553353901965444,-4.1913608565956055,-5.169950105083175,-3.2006120576456873,1.1186951833589507,-2.9394798849763246,-1.1841817251255398
2020-01-09,10.63226592188147,-6.75066657406593,10.008023954010323,-6.50286397828692,-1.9498428538373327,-0.6571460924623143,-3.0166493559474357,1.3409913879875224,1.2693145134923718
2020-01-10,14.711356863430213,-5.509140897819222,5.9238713446216025,-3.4374594910207006,-2.8816749587994357,0.9871691064603114,-2.2219417231467737,1.4111284632972703,-1.3047263012442842
2020-01-11,13.81400546870072,-4.27822057460251,4.405406902405275,-3.8798442982147243,-3.0046006232525215,-1.8577284535263372,-1.3529492565500283,2.5410512657732642,-0.09824096901766866
2020-01-12,16.39658496213319,-3.7745444199705873,1.129857715530518,3.457148222942309,-2.688560655649579,-4.953640630389446,-0.31872818863818675,-0.33379303039306385,-2.1266213070436257
