Cluster,Nunits,Fuel,Technology,Units,TotalCapacity,PowerCapacity,PowerMinStable,RampStartUpRate,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,CO2Intensity,CostRampUp
COMC_GAS,10,GAS,COMC,"ALIVERI5,LAVRIO4,LAVRIO5,KOMOTINI,HERON_CC,ELPEDISON_THESS,ELPEDISON_THISVI,ALOUMINIO,PROTERGIA_CC,KORINTHOS_POWER",4252.0,425.2,94.00000005000001,212.6,0.5481437441204139,2.0,2.0,765.3599999999999,765.3599999999999,0.43999999999999995,35.277516462841014
HDR_WAT,16,WAT,HDR,"KREMASTA,KASTRAKI,STRATOS1,ILARIONAS,POLYFYTO,SFIKIA,ASOMATA,THESAVROS,PLATANOVRYSI,POURNARI1,POURNARI2,P_AOOU,LADONAS,PLASTIRAS,EDESSAIOS,AGRAS",3172.0,198.25,0.0,198.25,1.0,0.0,0.0,4758.000000000001,4758.000000000001,0.0,0.0
STUR_LIG,15,LIG,STUR,"AG_DIMITRIOS1,AG_DIMITRIOS2,AG_DIMITRIOS3,AG_DIMITRIOS4,AG_DIMITRIOS5,KARDIA1,KARDIA2,KARDIA3,KARDIA4,MEGALOPOLI3,MEGALOPOLI4,AMYNDEO1,AMYNDEO2,MELITI,MEGALOPOLI_V",4757.0,317.1333333333333,149.99999986999998,52.855555555555554,0.36256052133697714,8.0,6.0,190.27999999999994,190.27999999999994,1.3503468572629809,189.19487071683835
